,adjusted_close,close,high,kdDiff,low,macd,macd_trigger,mfi,open,rsi,sma,ulOs,volume,williamsR
0,61.76554599999999,61.76554599999999,62.610426917951706,,61.65620885533734,,,,62.58060471475794,,,,25579900.0,
1,62.520968,62.520968,62.819159212760724,,62.351990428235595,,,,62.481208045128014,,,,10250600.0,
2,62.610426000000004,62.610426000000004,63.017955351404055,,62.45139015554964,,,,63.017955351404055,,,,14653300.0,
3,62.898675,62.898675,63.683915469878556,,62.829096818590735,,,,62.829096818590735,,,,11763200.0,
4,62.85891899999999,62.85891899999999,63.157110211965495,,62.42156744936663,,,,63.06765255018364,,,,12403800.0,
5,63.167049,63.167049,63.71373372587939,,63.02789362892043,,,,63.45530246444221,,,,22176600.0,
6,63.157111,63.157111,63.31614684515209,,62.73963991852768,,,,63.047772862483896,,,,17096300.0,
7,63.157111,63.157111,63.41554226042408,,62.65018225562962,,,,63.30620511688202,,,,26028400.0,
8,63.236627,63.236627,63.38572409895825,,62.0438571661522,,,,62.18301651272624,,,,34338200.0,
9,61.924581,61.924581,62.570666106665286,,61.74566567481677,,,,62.570666106665286,,,,42453100.0,
10,62.202897,62.202897,62.76946219905512,,61.924581288717484,,,,62.32217289003757,,,,27669900.0,
11,62.302293000000006,62.302293000000006,63.06765400689683,,62.15319589961243,,,,62.6203646936822,,,,30352700.0,
12,62.600483999999994,62.600483999999994,63.037830582391734,,61.864945210558396,,,,62.123376468720224,,,,35718900.0,
13,61.795364,61.795364,61.92458161900915,,61.34807866449287,,,,61.44747507439199,,,,20198100.0,-81.09253784256377
14,61.596571999999995,61.596571999999995,61.61645247469245,,60.761633809826336,,,43.16870225909374,60.81133151764835,,62.519641533333335,,27349400.0,-71.71714325679169
15,60.642354000000005,60.642354000000005,61.208923176898125,18.380493597250776,60.47338040168434,,,38.869143657143375,60.93060746465926,39.81979310249824,62.444762066666655,,21220800.0,-94.7853341469285
16,61.000184999999995,61.000184999999995,61.010126728211034,-19.762869734703266,59.43964577871045,,,33.12101717209595,59.648379330259225,43.73042904794512,62.34337653333332,,30809000.0,-63.48836896715684
17,59.58874399999999,59.58874399999999,60.09566876656525,17.374726512184907,59.439645907783316,,,29.218627361243648,60.065850539685556,34.30843868016487,62.14193106666666,,19907000.0,-96.51157806922758
18,59.857117,59.857117,60.224886396630914,5.462573476982072,59.201094141083075,,,34.43903914492901,59.34025050509575,37.07061696710467,61.93916053333333,,23552700.0,-85.46254699517428
19,58.892961,58.892961,59.11163627954365,0.012918263168558042,58.445671694633575,,,28.33407198126423,58.72398740364426,31.906531421403614,61.67476333333333,,25515700.0,-90.99998079536948
20,58.843263,58.843263,59.78753931332748,3.7687027013796097,58.584827766755225,,,35.548582025842265,59.74777935853858,31.662935720134314,61.386510933333334,,34542100.0,-91.99996659665149
21,59.896873,59.896873,60.81133109463429,-20.87620671119062,59.85711702076182,,,36.69596203698291,60.493260399326154,41.76238717692128,61.16916173333333,,34655400.0,-70.62376698481987
22,60.721874,60.721874,61.03994569225731,-30.559184317830073,60.15530879816664,,,43.53398716951835,60.284527411094246,48.186619140617466,61.0068126,,22366700.0,-50.752682472905605
23,60.244767,60.244767,60.652295358648814,0.3870199644588723,59.84717539973696,,,46.18599116305574,59.97639301771336,45.10375168238841,60.80735526666667,,20732600.0,-61.07524469332161
24,60.165246999999994,60.165246999999994,60.165246999999994,6.88175502437732,59.76765937622511,,,40.7967388265749,59.9366329732593,44.59426688219146,60.690066333333334,,8409600.0,-62.795718607490926
25,60.036032999999996,60.036032999999996,60.73181084046874,3.432412966523721,59.88693490854519,-0.4989918608907189,,39.153871572213866,60.64235317836469,43.734192330397185,60.54560873333333,,21848900.0,-65.36789461692999
26,60.751692000000006,60.751692000000006,60.89084737086819,-30.367521261184393,60.44356203722602,-0.48871599649695696,,47.75195190807434,60.61253662913182,49.51250074833518,60.442235333333336,,23206700.0,-33.714285351026064
27,60.49326,60.49326,60.60259714246899,-14.117875558173544,60.055908448201954,-0.48968865449445786,,47.89302471551403,60.135428357945635,47.62036514706497,60.301753733333335,,19652600.0,-35.42321442580448
28,59.98633100000001,59.98633100000001,60.77157148130592,9.67594462256622,59.936633292244174,-0.5117232644137601,,47.91596533740028,60.413740828850884,44.080037760616136,60.181151533333335,50.08538579775486,27686300.0,-44.24469451098149
29,60.274584999999995,60.274584999999995,60.582718941413326,-10.332032429380899,59.6086243788458,-0.5165701825656512,,46.4275594902459,60.0459719639837,46.50313298374071,60.09301906666667,48.216166774244606,32132700.0,-29.50192203901209
30,59.290552000000005,59.290552000000005,59.30048975220487,30.559572517845027,58.45561283318234,-0.5633419591977145,,46.99579262010001,58.58482746722202,40.14116943602972,60.002898933333334,47.08818758981629,27332500.0,-67.43288079284181
