Wall time,Step,Value
1525717222.9155538,0,0.05159088596701622
1525717252.3003263,1,0.01728539727628231
1525717281.4979267,2,0.014151209034025669
1525717311.3881595,3,0.011888093315064907
1525717340.9741151,4,0.010039754211902618
1525717370.2628005,5,0.008580826222896576
1525717399.3493006,6,0.0074588218703866005
1525717428.5499232,7,0.0066353632137179375
1525717457.566341,8,0.006043282337486744
1525717486.6718588,9,0.005647726356983185
1525717515.839448,10,0.005400585941970348
1525717545.733669,11,0.00526195066049695
1525717575.1364586,12,0.005190211348235607
1525717604.5462542,13,0.005159205757081509
1525717633.79892,14,0.005142768379300833
1525717663.0405617,15,0.00513420021161437
1525717692.238163,16,0.00513171311467886
1525717721.239586,17,0.005129206459969282
1525717750.3350809,18,0.005128628574311733
1525717779.5526998,19,0.00512665743008256
1525717808.6992698,20,0.005124909803271294
1525717837.9479182,21,0.005122954025864601
1525717867.0594413,22,0.005121113732457161
1525717896.0638685,23,0.005121033638715744
1525717925.382565,24,0.005119466222822666
1525717954.4100106,25,0.00511945690959692
1525717983.353396,26,0.00511976471170783
1525718012.6080344,27,0.005115336738526821
1525718041.8026335,28,0.00511554442346096
1525718070.9421823,29,0.005115856882184744
1525718099.8274992,30,0.005114853847771883
1525718128.812909,31,0.00511420052498579
1525718158.0135279,32,0.005113227292895317
1525718187.4483306,33,0.00511197280138731
1525718216.6959922,34,0.005113518331199884
1525718245.7404578,35,0.005111088510602713
1525718274.8389654,36,0.005111562553793192
1525718303.8483958,37,0.005110787693411112
1525718333.0700045,38,0.005111689679324627
1525718362.2616005,39,0.0051085446029901505
1525718391.3190749,40,0.005109270103275776
1525718420.5357084,41,0.005109351594001055
1525718449.3209343,42,0.00510947871953249
1525718478.2282717,43,0.005108051002025604
1525718506.8613448,44,0.005107354838401079
1525718535.2622347,45,0.005107351113110781
1525718563.4599254,46,0.00510640861466527
1525718591.7807286,47,0.0051062945276498795
1525718619.9033506,48,0.005107599310576916
1525718648.2241383,49,0.005105460993945599
1525718676.5529635,50,0.005106058903038502
1525718704.7356403,51,0.005104461684823036
1525718732.9563522,52,0.005105470307171345
1525718761.1680553,53,0.005104824900627136
1525718789.5178702,54,0.005103922449052334
1525718817.551426,55,0.005104199983179569
1525718845.7120829,56,0.005103182978928089
1525718873.790665,57,0.005102228373289108
1525718901.8021863,58,0.00510338693857193
1525718929.90479,59,0.005103325936943293
1525718958.0224078,60,0.0051026251167058945
1525718986.2861445,61,0.005101603455841541
1525719014.442812,62,0.005101298447698355
1525719042.5504205,63,0.005100644659250975
1525719070.852206,64,0.005102358292788267
1525719099.1129541,65,0.0051006353460252285
1525719127.2916129,66,0.005100524052977562
1525719155.3591847,67,0.005101349204778671
1525719183.4928317,68,0.005100954789668322
1525719211.4803312,69,0.005101110320538282
1525719239.6289768,70,0.005099281668663025
1525719267.7435782,71,0.0051003070548176765
1525719295.8321834,72,0.0050997259095311165
1525719323.9958286,73,0.0050986167043447495
1525719352.2225451,74,0.00509909400716424
1525719380.372207,75,0.005099158268421888
1525719408.596922,76,0.005098894238471985
1525719436.8696814,77,0.005100414156913757
1525719465.0733774,78,0.005098598077893257
1525719493.2630458,79,0.005098834168165922
