macd_26_12
macd_28_14
macd_30_16
macd_trigger_9_26_12
macd_trigger_10_28_14
macd_trigger_11_30_16
mfIndex_14
mfIndex_18
mfIndex_22
rsi_25
rsi_30
rsi_15
rsi_20
ultimateOs_7_14_28
ultimateOs_8_16_32
ultimateOs_9_18_36
willR_14
willR_18
willR_22
kdHist_14
kdHist_18
kdHist_22
volume
adjusted_close
sma_25
sma_30
sma_15
sma_20
