Wall time,Step,Value
1526388633.093668,0,0.035543542355298996
1526388653.437195,1,0.01870126836001873
1526388673.7567015,2,0.007020508870482445
1526388694.1702933,3,0.006308842916041613
1526388714.5478525,4,0.006218550261110067
1526388734.93442,5,0.0061850170604884624
1526388755.4260986,6,0.006154857575893402
1526388775.8997302,7,0.006131350062787533
1526388796.473468,8,0.006112988106906414
1526388817.2253687,9,0.006098164711147547
1526388839.6027496,10,0.006078036036342382
1526388862.1552896,11,0.00605876324698329
1526388885.0331264,12,0.006043217610567808
1526388907.2243369,13,0.006041310261934996
1526388927.902185,14,0.0060382443480193615
1526388948.7761967,15,0.006034635007381439
1526388969.568118,16,0.006032156758010387
1526388990.184895,17,0.006030580960214138
1526389010.8407078,18,0.006029084324836731
1526389031.5075305,19,0.0060294875875115395
1526389052.4195766,20,0.0060276370495557785
1526389073.3186107,21,0.006025157868862152
1526389094.2526767,22,0.006009955424815416
1526389114.8544564,23,0.005981339607387781
1526389135.500245,24,0.005959195550531149
1526389156.232126,25,0.00594140961766243
1526389176.8639169,26,0.005927742458879948
1526389197.6348345,27,0.005917354952543974
1526389218.3977444,28,0.00591252138838172
1526389239.1937003,29,0.005910396575927734
1526389259.9846208,30,0.005904087796807289
1526389280.9757395,31,0.005903072189539671
1526389301.6836145,32,0.005904172547161579
1526389322.2773552,33,0.005899747833609581
1526389342.9501834,34,0.005898873787373304
1526389364.0303826,35,0.00589756341651082
1526389384.7852857,36,0.005896640941500664
1526389405.4731276,37,0.005897168070077896
1526389426.2000058,38,0.005894816014915705
1526389446.9188752,39,0.005894456058740616
1526389467.596708,40,0.005894127301871777
1526389488.3035684,41,0.005893498193472624
1526389509.1765778,42,0.0058921934105455875
1526389529.8774314,43,0.005893019028007984
1526389550.7344282,44,0.005892543122172356
1526389571.417265,45,0.0058922008611261845
1526389592.1181183,46,0.005889359395951033
1526389612.8950415,47,0.005890230648219585
1526389633.605905,48,0.00589057058095932
1526389654.3327818,49,0.005889397580176592
1526389675.0816946,50,0.005886795464903116
1526389695.6444073,51,0.005888737738132477
1526389716.3452609,52,0.005888162646442652
1526389737.186242,53,0.005887347273528576
1526389757.95616,54,0.005888089071959257
1526389778.7551177,55,0.005887295585125685
1526389799.3778849,56,0.005885925143957138
1526389820.2849262,57,0.005884705111384392
1526389840.838646,58,0.005885956808924675
1526389861.6976435,59,0.005886602681130171
1526389882.7948585,60,0.005884245503693819
1526389903.5027184,61,0.005884296260774136
1526389924.320694,62,0.005882804282009602
1526389945.1276295,63,0.005883039906620979
1526389965.7764356,64,0.00588204525411129
1526389986.3321571,65,0.005881214514374733
1526390007.0320098,66,0.005883585661649704
1526390027.6127698,67,0.00588248809799552
1526390048.2055097,68,0.005880660377442837
1526390068.9093814,69,0.005881250835955143
1526390089.5651789,70,0.005880915559828281
1526390110.2350044,71,0.005879153497517109
1526390130.8868144,72,0.005881031509488821
1526390151.8539097,73,0.0058795674704015255
1526390172.432652,74,0.005880438722670078
1526390193.0594382,75,0.005881309974938631
