,train_loss,test_loss,train_acc,test_acc
0,0.9846522250732819,0.835964363354903,0.42857142857142855,0.2692307692307692
1,0.7381499494825091,0.936655040543813,0.474025974025974,0.2692307692307692
2,0.7592673069470889,0.8459454379402674,0.42207792207792205,0.2692307692307692
3,0.7382059267589024,0.8276916283827561,0.44805194805194803,0.2692307692307692
4,0.7325050761173297,0.813017664047388,0.44805194805194803,0.2692307692307692
5,0.7279659323878103,0.8026009947061539,0.45454545454545453,0.2692307692307692
6,0.7244982696198797,0.7946491058056171,0.461038961038961,0.2692307692307692
7,0.7216426288926756,0.7884031327871176,0.461038961038961,0.2692307692307692
8,0.7195067142511343,0.7834547918576461,0.474025974025974,0.2692307692307692
9,0.71710771399659,0.7793071476312784,0.461038961038961,0.2692307692307692
10,0.715074855011779,0.7765032110305933,0.474025974025974,0.2692307692307692
11,0.7132587378675287,0.7738907554974923,0.4805194805194805,0.2692307692307692
12,0.7114226051739284,0.77187280356884,0.487012987012987,0.2692307692307692
13,0.7093743976060446,0.7737031624867365,0.487012987012987,0.2692307692307692
14,0.7084649220689551,0.7696555050519797,0.512987012987013,0.2692307692307692
15,0.7053244230035064,0.7711182431532786,0.538961038961039,0.2692307692307692
16,0.7034333247643012,0.776388725409141,0.5064935064935064,0.2692307692307692
17,0.7012252405092314,0.7761700096038672,0.5584415584415584,0.2692307692307692
18,0.6973963465009417,0.7773217060245,0.577922077922078,0.2692307692307692
19,0.6911795603764521,0.7882695066241118,0.5974025974025974,0.2692307692307692
20,0.6851350796687139,0.7939202424425346,0.5844155844155844,0.2692307692307692
21,0.6643044414458337,0.8776849714609293,0.5844155844155844,0.2692307692307692
22,0.641568097975347,0.853297790655723,0.6298701298701299,0.2692307692307692
23,0.5896035839210857,0.8302981521074588,0.6818181818181818,0.4230769230769231
24,0.5450511694728554,0.8282750091300561,0.7142857142857143,0.4807692307692308
25,0.5141921662665033,0.8169796206057072,0.7207792207792207,0.5576923076923077
26,0.4920275585798474,0.8207007758319378,0.7402597402597403,0.5769230769230769
27,0.47775265226116426,0.805552038579033,0.7467532467532467,0.5961538461538461
28,0.4639821541677048,0.7774011941196827,0.7662337662337663,0.6153846153846154
29,0.45219952932425905,0.755499907124501,0.7792207792207793,0.6153846153846154
30,0.4422453460465004,0.7324826784718496,0.8051948051948052,0.6153846153846154
31,0.43283356053682115,0.7128879496684442,0.8051948051948052,0.6153846153846154
32,0.42450989836028646,0.6954922443972185,0.8051948051948052,0.6153846153846154
33,0.4176654026831512,0.6816182572108048,0.8116883116883117,0.6153846153846154
34,0.411266238271416,0.6665024010177988,0.8181818181818182,0.6538461538461539
35,0.4055769818943816,0.653524121341224,0.8311688311688312,0.6923076923076923
36,0.4000776056200266,0.6410376456064674,0.8506493506493507,0.6730769230769231
37,0.3942101781389543,0.6269057921062295,0.8506493506493507,0.6730769230769231
38,0.3891464757261338,0.6167219035470715,0.8571428571428571,0.7307692307692307
39,0.3854181816099913,0.6083681343409878,0.8571428571428571,0.7307692307692307
40,0.3821953023457295,0.6031625451376805,0.8636363636363636,0.75
41,0.3794403498290808,0.5952179828085579,0.8571428571428571,0.75
42,0.3769106509817111,0.5894310728002053,0.8571428571428571,0.75
43,0.3747435115132626,0.5837722760983385,0.8571428571428571,0.75
44,0.37265616977079347,0.5797291283424084,0.8571428571428571,0.75
45,0.37075729893109244,0.5767206792504742,0.8636363636363636,0.75
46,0.368927640453368,0.5736049141806479,0.8636363636363636,0.75
47,0.36732572450169493,0.5712781086062583,0.8636363636363636,0.75
48,0.36609045050844746,0.5689896878858025,0.8701298701298701,0.75
49,0.365041582179921,0.5670093579146152,0.8701298701298701,0.75
